,date_at,mois,product_type,category,country,valeur,loss,reimburse
60,2022-03-31 00:00:00,2022-03,Oolu TV Screen 43,TV43,Nigeria,0.0,0.0,0.0
61,2022-03-31 00:00:00,2022-03,Oolu TV Screen 43,TV43,Senegal,0.0,0.0,0.0
62,2022-03-31 00:00:00,2022-03,Oolu USB charger,SHS+TV,Burkina,9000.0,0.0,0.0
63,2022-03-31 00:00:00,2022-03,Oolu USB charger,SHS+TV,Cameroun,2700.0,0.0,0.0
64,2022-03-31 00:00:00,2022-03,Oolu USB charger,SHS+TV,Mali,3600.0,0.0,0.0
65,2022-03-31 00:00:00,2022-03,Oolu USB charger,SHS+TV,Nigeria,21600.0,2700.0,0.0
66,2022-03-31 00:00:00,2022-03,Oolu USB charger,SHS+TV,Senegal,9900.0,0.0,0.0
67,2022-03-31 00:00:00,2022-03,PICO D100,pico,Cameroun,1007537.0,0.0,0.0
68,2022-03-31 00:00:00,2022-03,PICO D100,pico,Senegal,45800.0,0.0,0.0
69,2022-03-31 00:00:00,2022-03,Powerbank component,accessories,Nigeria,0.0,0.0,0.0
70,2022-03-31 00:00:00,2022-03,Powerhub 1000 component,big SHS,Nigeria,37908.890000000014,113726.67000000004,0.0
71,2022-03-31 00:00:00,2022-03,Powerhub 10m of DC cable,big SHS,Nigeria,39000.0,13000.0,52000.0
72,2022-03-31 00:00:00,2022-03,Powerhub 1280 component,big SHS,Nigeria,889392.0,0.0,0.0
73,2022-03-31 00:00:00,2022-03,Powerhub 1280 with panel ,big SHS,Nigeria,1506160.0,0.0,0.0
74,2022-03-31 00:00:00,2022-03,Powerhub 3000,big SHS,Burkina,3425767.0,0.0,0.0
75,2022-03-31 00:00:00,2022-03,Powerhub 500 component,big SHS,Nigeria,39901.619999999995,119704.85999999999,0.0
76,2022-03-31 00:00:00,2022-03,Powerhub 500 with panel,big SHS,Nigeria,0.0,0.0,0.0
77,2022-03-31 00:00:00,2022-03,Powerhub AC input cable,big SHS,Nigeria,45500.0,6500.0,52000.0
78,2022-03-31 00:00:00,2022-03,Powerhub Panel 340W,big SHS,Nigeria,560000.0,0.0,980000.0
79,2022-03-31 00:00:00,2022-03,Radio Component WS,pico,Nigeria,14000.0,14000.0,3500.0
80,2022-03-31 00:00:00,2022-03,Radio V1,pico,Burkina,19071.0,38142.0,114426.0
81,2022-03-31 00:00:00,2022-03,Radio V1,pico,Mali,8749.0,0.0,0.0
82,2022-03-31 00:00:00,2022-03,Radio V1,pico,Nigeria,0.0,0.0,0.0
83,2022-03-31 00:00:00,2022-03,Radio V1,pico,Senegal,22527.0,0.0,7509.0
84,2022-03-31 00:00:00,2022-03,Radio component,pico,Burkina,0.0,0.0,0.0
85,2022-03-31 00:00:00,2022-03,Radio component,pico,Nigeria,0.0,0.0,0.0
86,2022-03-31 00:00:00,2022-03,Radio component,pico,Senegal,0.0,0.0,0.0
87,2022-03-31 00:00:00,2022-03,SKH Controller,pico,Mali,1935758.0151799999,199259.83727999998,0.0
88,2022-03-31 00:00:00,2022-03,SKH Controller,pico,Senegal,41484890.181559995,74721.95932,344431.27625999996
89,2022-03-31 00:00:00,2022-03,SKH Extension cable,pico,Mali,37800.0,4900.0,0.0
90,2022-03-31 00:00:00,2022-03,SKH Extension cable,pico,Senegal,1339800.0,700.0,0.0
91,2022-03-31 00:00:00,2022-03,SKH Lamp,pico,Mali,1964600.0,57000.0,0.0
92,2022-03-31 00:00:00,2022-03,SKH Lamp,pico,Senegal,21458600.0,11400.0,11400.0
93,2022-03-31 00:00:00,2022-03,SKH PV Panel,pico,Mali,1822400.0,40800.0,0.0
94,2022-03-31 00:00:00,2022-03,SKH PV Panel,pico,Senegal,20168800.0,13600.0,6800.0
95,2022-03-31 00:00:00,2022-03,SKH USB cable,pico,Mali,55000.0,6000.0,0.0
96,2022-03-31 00:00:00,2022-03,SKH USB cable,pico,Senegal,2027000.0,1000.0,0.0
97,2022-03-31 00:00:00,2022-03,SKH Wall mount,pico,Mali,27500.0,3000.0,0.0
98,2022-03-31 00:00:00,2022-03,SKH Wall mount,pico,Senegal,1164000.0,500.0,0.0
99,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Burkina,123000.0,0.0,0.0
100,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Cameroun,4500.0,0.0,0.0
101,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Mali,135000.0,4500.0,0.0
102,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Niger,22500.0,0.0,0.0
103,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Nigeria,4500.0,0.0,0.0
104,2022-03-31 00:00:00,2022-03,Satellite Cable 12m incl. connectors,SHS+TV,Senegal,204000.0,1500.0,0.0
105,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Burkina,283500.0,0.0,0.0
106,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Cameroun,10500.0,0.0,0.0
107,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Mali,420000.0,10500.0,0.0
108,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Niger,52500.0,0.0,0.0
109,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Nigeria,10500.0,0.0,0.0
110,2022-03-31 00:00:00,2022-03,Satellite Dish incl. support,SHS+TV,Senegal,689500.0,3500.0,0.0
111,2022-03-31 00:00:00,2022-03,Sherpa Powerbank,accessories,Nigeria,0.0,0.0,0.0
112,2022-03-31 00:00:00,2022-03,Sun King Home 60 Easy Buy,pico,Mali,37707.0,0.0,0.0
113,2022-03-31 00:00:00,2022-03,Sun King Home 60 Easy Buy,pico,Nigeria,0.0,37707.47966,0.0
114,2022-03-31 00:00:00,2022-03,Sun King Home 60 Easy Buy,pico,Senegal,20495008.27748,0.0,0.0
115,2022-03-31 00:00:00,2022-03,WowSolar Batterie GM 80W,SHS+TV,Burkina,1715000.0,0.0,0.0
116,2022-03-31 00:00:00,2022-03,WowSolar Batterie GM 80W,SHS+TV,Mali,1890000.0,140000.0,0.0
117,2022-03-31 00:00:00,2022-03,WowSolar Batterie GM 80W,SHS+TV,Niger,525000.0,0.0,0.0
118,2022-03-31 00:00:00,2022-03,WowSolar Batterie GM 80W,SHS+TV,Nigeria,455000.0,70000.0,35000.0
119,2022-03-31 00:00:00,2022-03,WowSolar Batterie GM 80W,SHS+TV,Senegal,5530000.0,0.0,0.0
120,2022-03-31 00:00:00,2022-03,WowSolar Controller,pico,Burkina,13229265.0,569377.0,334571.0
121,2022-03-31 00:00:00,2022-03,WowSolar Controller,pico,Mali,13011562.0,678330.0,0.0
122,2022-03-31 00:00:00,2022-03,WowSolar Controller,pico,Niger,2537112.0,146079.0,0.0
123,2022-03-31 00:00:00,2022-03,WowSolar Controller,pico,Nigeria,4306779.9,322114.15,635123.95
124,2022-03-31 00:00:00,2022-03,WowSolar Controller,pico,Senegal,14220163.0,62878.0,241290.0
125,2022-03-31 00:00:00,2022-03,WowSolar Extension cable,pico,Burkina,557050.0,7800.0,650.0
126,2022-03-31 00:00:00,2022-03,WowSolar Extension cable,pico,Mali,524550.0,16900.0,0.0
127,2022-03-31 00:00:00,2022-03,WowSolar Extension cable,pico,Niger,95550.0,650.0,0.0
128,2022-03-31 00:00:00,2022-03,WowSolar Extension cable,pico,Nigeria,26000.0,65650.0,6500.0
129,2022-03-31 00:00:00,2022-03,WowSolar Extension cable,pico,Senegal,345150.0,1950.0,5850.0
130,2022-03-31 00:00:00,2022-03,WowSolar Lamp 140lm,pico,Burkina,15156000.0,144000.0,12000.0
131,2022-03-31 00:00:00,2022-03,WowSolar Lamp 140lm,pico,Mali,9636000.0,144000.0,0.0
132,2022-03-31 00:00:00,2022-03,WowSolar Lamp 140lm,pico,Niger,1806000.0,0.0,0.0
133,2022-03-31 00:00:00,2022-03,WowSolar Lamp 140lm,pico,Nigeria,594000.0,777000.0,30000.0
134,2022-03-31 00:00:00,2022-03,WowSolar Lamp 140lm,pico,Senegal,9549000.0,36000.0,24000.0
135,2022-03-31 00:00:00,2022-03,WowSolar Lamp 400lm,pico,Burkina,816000.0,0.0,0.0
136,2022-03-31 00:00:00,2022-03,WowSolar Lamp 400lm,pico,Mali,672000.0,19200.0,0.0
137,2022-03-31 00:00:00,2022-03,WowSolar Lamp 400lm,pico,Niger,108800.0,0.0,0.0
138,2022-03-31 00:00:00,2022-03,WowSolar Lamp 400lm,pico,Nigeria,227200.0,291200.0,25600.0
139,2022-03-31 00:00:00,2022-03,WowSolar Lamp 400lm,pico,Senegal,1299200.0,6400.0,12800.0
140,2022-03-31 00:00:00,2022-03,WowSolar Panel 10W,pico,Nigeria,341000.0,379500.0,16500.0
141,2022-03-31 00:00:00,2022-03,WowSolar Panel 40W,SHS+TV,Burkina,4800000.0,0.0,0.0
142,2022-03-31 00:00:00,2022-03,WowSolar Panel 40W,SHS+TV,Mali,3680000.0,64000.0,0.0
143,2022-03-31 00:00:00,2022-03,WowSolar Panel 40W,SHS+TV,Niger,480000.0,0.0,0.0
144,2022-03-31 00:00:00,2022-03,WowSolar Panel 40W,SHS+TV,Nigeria,352000.0,128000.0,32000.0
145,2022-03-31 00:00:00,2022-03,WowSolar Panel 40W,SHS+TV,Senegal,7680000.0,64000.0,64000.0
146,2022-03-31 00:00:00,2022-03,WowSolar Panel 6W,pico,Burkina,5930000.0,60000.0,5000.0
147,2022-03-31 00:00:00,2022-03,WowSolar Panel 6W,pico,Mali,4250000.0,55000.0,0.0
