date_at,mois,product_type,category,country,valeur,loss,reimburse
2022-03-31 00:00:00,2022-03,Burn Stove,accessories,Nigeria,0.0,0.0,31500.0
2022-03-31 00:00:00,2022-03,Burn Stove Xtra,accessories,Nigeria,0.0,0.0,0.0
2022-03-31 00:00:00,2022-03,D Light Radio,accessories,Cameroun,1937166.0,0.0,0.0
2022-03-31 00:00:00,2022-03,D Light Torche,accessories,Cameroun,1976700.0,0.0,0.0
2022-03-31 00:00:00,2022-03,ForeSolar Fan,Fans,Nigeria,109977.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Hairclipper V1,accessories,Burkina,32895.0,21930.0,197370.0
2022-03-31 00:00:00,2022-03,Hairclipper V1,accessories,Mali,9148.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Hairclipper V1,accessories,Nigeria,0.0,45086.0,0.0
2022-03-31 00:00:00,2022-03,Hairclipper V1,accessories,Senegal,19660.0,0.0,137620.0
2022-03-31 00:00:00,2022-03,L190 Portable light + phone charger,accessories,Nigeria,613953.0,77929.0,269589.0
2022-03-31 00:00:00,2022-03,Oolu Solar Fan V1,accessories,Burkina,1749000.0,0.0,198750.0
2022-03-31 00:00:00,2022-03,Oolu Solar Fan V1,accessories,Mali,1145178.0,169656.0,0.0
2022-03-31 00:00:00,2022-03,Oolu Solar Fan V1,accessories,Senegal,141532.0,0.0,70766.0
2022-03-31 00:00:00,2022-03,Oolu Solar Fan V1 + adapter,Fans,Niger,334576.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Oolu Solar Fan V1 + adapter,Fans,Nigeria,6976626.0,1383406.0,274847.0
2022-03-31 00:00:00,2022-03,Oolu SolarTV24,TV24,Cameroun,540344.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Oolu SolarTV24 NG,TV24,Nigeria,261520.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Oolu SolarTV24 NG,TV24,Senegal,0.0,0.0,0.0
2022-03-31 00:00:00,2022-03,Oolu SolarTV32,TV32,Burkina,3685126.0,0.0,0.0
