date_at,mois,product_type,category,country,valeur,loss,reimburse
2022-04-06 00:00:00.000000,2022-03,Adapter Fan,accessories,Niger,40800.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Adapter Fan,accessories,Nigeria,6800.0,57800.0,3400.0
2022-04-06 00:00:00.000000,2022-03,Burn Stove,accessories,Nigeria,0.0,0.0,31500.0
2022-04-06 00:00:00.000000,2022-03,Burn Stove Xtra,accessories,Nigeria,0.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D Light Radio,accessories,Cameroun,1937166.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D100 Controller,pico,Cameroun,51000.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D100 Lamp 120lm,pico,Cameroun,70200.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D100 Lamp 220lm,pico,Cameroun,37800.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D100 Multifunction charger,pico,Cameroun,16250.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,D100 Panel,pico,Cameroun,107800.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Fan Lead Acid Battery,accessories,Nigeria,362100.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper V1,accessories,Burkina,32895.0,21930.0,197370.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper V1,accessories,Mali,9148.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper V1,accessories,Nigeria,0.0,45086.51,0.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper V1,accessories,Senegal,19660.0,0.0,137620.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper component,accessories,Burkina,0.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper component,accessories,Mali,0.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,Hairclipper component,accessories,Nigeria,0.0,4201.51,0.0
2022-04-06 00:00:00.000000,2022-03,LNB Head incl. support,SHS+TV,Burkina,24600.0,0.0,0.0
2022-04-06 00:00:00.000000,2022-03,LNB Head incl. support,SHS+TV,Cameroun,900.0,0.0,0.0
