date_at,mois,bucket,product_type,category,country,valeur
2022-03-31 00:00:00,2022-03,> 12 mois,Powerhub 1280 with panel ,Powerhub,Nigeria,1506160.0
2022-03-31 00:00:00,2022-03,> 12 mois,Powerhub 500 with panel,Powerhub,Nigeria,0.0
2022-03-31 00:00:00,2022-03,> 12 mois,Radio V1,accessories,Burkina,19071.0
2022-03-31 00:00:00,2022-03,> 12 mois,Radio V1,accessories,Mali,8749.0
2022-03-31 00:00:00,2022-03,> 12 mois,Radio V1,accessories,Senegal,22527.0
2022-03-31 00:00:00,2022-03,> 12 mois,Sherpa Powerbank,accessories,Nigeria,0.0
2022-03-31 00:00:00,2022-03,> 12 mois,Sun King Home 60 Easy Buy,pico,Mali,37707.0
2022-03-31 00:00:00,2022-03,> 12 mois,Sun King Home 60 Easy Buy,pico,Senegal,1998471.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar100 NG,pico,Nigeria,199312.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar400,pico,Senegal,0.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar60,pico,Burkina,2783596.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar60,pico,Mali,21514314.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar60,pico,Niger,8794962.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolar60,pico,Senegal,476418.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV19,TV19,Burkina,146079.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV19,TV19,Mali,295478.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV19,TV19,Niger,438237.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV19,TV19,Senegal,145874.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV19 NG,TV19,Nigeria,671658.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV22,TV22,Burkina,516109.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV22,TV22,Mali,5182305.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV22,TV22,Senegal,1843637.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV32,TV32,Burkina,810516.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV32,TV32,Mali,3981439.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV32,TV32,Nigeria,0.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV32,TV32,Senegal,231771.0
2022-03-31 00:00:00,2022-03,> 12 mois,WowSolarTV32 NG,TV32,Nigeria,458595.0
